Time: 10000.000000
15 2 0.000225381
15 3 0.000622978
15 4 0.000155941
15 5 2.39217e-05
15 6 1
Time: 0.400000
0 0 7.77654e-05
0 1 0.000403389
0 2 0.000385178
0 3 0.00105393
0 4 0.000251791
0 5 3.22725e-05
0 6 1
1 0 0.000140209
1 1 0.000727285
1 2 0.000694471
1 3 0.00190026
1 4 0.00045397
1 5 5.81862e-05
1 6 1
2 0 0.00019415
2 1 0.0010071
2 2 0.000961644
2 3 0.00263133
2 4 0.000628628
2 5 8.05725e-05
2 6 1
3 0 0.000239832
3 1 0.00124407
3 2 0.00118792
3 3 0.00325041
3 4 0.000776521
3 5 9.95289e-05
3 6 1
4 0 0.000276991
4 1 0.00143684
4 2 0.00137195
4 3 0.00375405
4 4 0.000896844
4 5 0.000114947
4 6 1
5 0 0.000305057
5 1 0.00158239
5 2 0.00151098
5 3 0.00413434
5 4 0.000987712
5 5 0.000126593
5 6 1
6 0 0.000323403
6 1 0.00167759
6 2 0.00160187
6 3 0.00438304
6 4 0.00104715
6 5 0.000134215
6 6 1
7 0 0.000331562
7 1 0.00171988
7 2 0.00164226
7 3 0.00449349
7 4 0.00107354
7 5 0.0001376
7 6 1
8 0 0.000329308
8 1 0.00170819
8 2 0.0016311
8 3 0.00446306
8 4 0.00106625
8 5 0.000136658
8 6 1
9 0 0.000316712
9 1 0.00164285
9 2 0.00156871
9 3 0.00429251
9 4 0.00102545
9 5 0.000131435
9 6 1
10 0 0.000294144
10 1 0.0015258
10 2 0.00145693
10 3 0.00398633
10 4 0.000952385
10 5 0.000122064
10 6 1
11 0 0.000262268
11 1 0.00136045
11 2 0.00129904
11 3 0.00355452
11 4 0.000849185
11 5 0.000108841
11 6 1
12 0 0.000221961
12 1 0.00115134
12 2 0.00109938
12 3 0.00300821
12 4 0.000718662
12 5 9.21121e-05
12 6 1
13 0 0.000174208
13 1 0.000903641
13 2 0.000862853
13 3 0.00236099
13 4 0.000564063
13 5 7.22948e-05
13 6 1
14 0 0.000120012
14 1 0.000622512
14 2 0.000594427
14 3 0.0016265
14 4 0.00038857
14 5 4.98043e-05
14 6 1
15 0 6.0341e-05
15 1 0.000313013
15 2 0.000298885
15 3 0.000817815
15 4 0.000195382
15 5 2.50417e-05
15 6 1
Time: 0.500000
0 0 9.71461e-05
0 1 0.000503437
0 2 0.000478877
0 3 0.00129718
0 4 0.0002962
0 5 3.28809e-05
0 6 1
1 0 0.000175152
1 1 0.000907665
1 2 0.000863408
1 3 0.00233885
1 4 0.000534038
1 5 5.92831e-05
1 6 1
2 0 0.000242536
2 1 0.00125688
2 2 0.00119557
2 3 0.00323866
2 4 0.000739501
2 5 8.20914e-05
2 6 1
3 0 0.000299603
3 1 0.00155262
3 2 0.00147689
3 3 0.00400063
3 4 0.000913478
3 5 0.000101405
3 6 1
4 0 0.000346023
4 1 0.00179321
4 2 0.0017057
4 3 0.00462051
4 4 0.00105502
4 5 0.000117114
4 6 1
5 0 0.000381083
5 1 0.00197486
5 2 0.00187854
5 3 0.00508858
5 4 0.00116192
5 5 0.000128979
5 6 1
6 0 0.000404001
6 1 0.00209366
6 2 0.00199154
6 3 0.00539468
6 4 0.00123184
6 5 0.000136745
6 6 1
7 0 0.000414194
7 1 0.00214644
7 2 0.00204176
7 3 0.00553062
7 4 0.00126289
7 5 0.000140194
7 6 1
8 0 0.000411378
8 1 0.00213186
8 2 0.00202789
8 3 0.00549317
8 4 0.00125431
8 5 0.000139234
8 6 1
9 0 0.000395642
9 1 0.00205031
9 2 0.00195032
9 3 0.00528325
9 4 0.00120631
9 5 0.000133913
9 6 1
10 0 0.000367451
10 1 0.00190422
10 2 0.00181134
10 3 0.0049064
10 4 0.00112036
10 5 0.000124365
10 6 1
11 0 0.00032763
11 1 0.00169787
11 2 0.00161504
11 3 0.00437493
11 4 0.000998958
11 5 0.000110893
11 6 1
12 0 0.000277278
12 1 0.0014369
12 2 0.00136682
12 3 0.00370253
12 4 0.000845414
12 5 9.38484e-05
12 6 1
13 0 0.000217624
13 1 0.00112776
13 2 0.00107275
13 3 0.00290592
13 4 0.000663548
13 5 7.36576e-05
13 6 1
14 0 0.000149921
14 1 0.000776907
14 2 0.000739029
14 3 0.00200191
14 4 0.000457103
14 5 5.07431e-05
14 6 1
15 0 7.53792e-05
15 1 0.000390646
15 2 0.000371592
15 3 0.00100657
15 4 0.000229842
15 5 2.55137e-05
15 6 1
Time: 0.600000
0 0 0.000116503
0 1 0.000603167
0 2 0.00057156
0 3 0.00153285
0 4 0.000335001
0 5 3.31373e-05
0 6 1
1 0 0.000210051
1 1 0.00108747
1 2 0.00103051
1 3 0.00276376
1 4 0.000603994
1 5 5.97454e-05
1 6 1
2 0 0.000290862
2 1 0.00150587
2 2 0.00142697
2 3 0.00382704
2 4 0.000836373
2 5 8.27315e-05
2 6 1
3 0 0.000359299
3 1 0.0018602
3 2 0.00176273
3 3 0.00472744
3 4 0.00103314
3 5 0.000102196
3 6 1
4 0 0.000414968
4 1 0.00214844
4 2 0.00203582
4 3 0.00545993
4 4 0.00119323
4 5 0.000118027
4 6 1
5 0 0.000457014
5 1 0.00236608
5 2 0.00224212
5 3 0.00601304
5 4 0.00131412
5 5 0.000129985
5 6 1
6 0 0.000484499
6 1 0.00250841
6 2 0.00237699
6 3 0.00637475
6 4 0.0013932
6 5 0.000137811
6 6 1
7 0 0.000496723
7 1 0.00257165
7 2 0.00243692
7 3 0.00653539
7 4 0.00142832
7 5 0.000141287
7 6 1
8 0 0.000493346
8 1 0.00255418
8 2 0.00242037
8 3 0.00649114
8 4 0.00141861
8 5 0.00014032
8 6 1
9 0 0.000474474
9 1 0.00245647
9 2 0.00232779
9 3 0.00624307
9 4 0.00136433
9 5 0.000134957
9 6 1
10 0 0.000440665
10 1 0.00228145
10 2 0.00216191
10 3 0.00579776
10 4 0.00126712
10 5 0.000125335
10 6 1
11 0 0.000392911
11 1 0.00203421
11 2 0.00192762
11 3 0.00516974
11 4 0.00112982
11 5 0.000111758
11 6 1
12 0 0.000332525
12 1 0.00172154
12 2 0.00163135
12 3 0.00437518
12 4 0.00095616
12 5 9.45803e-05
12 6 1
13 0 0.000260986
13 1 0.00135117
13 2 0.00128038
13 3 0.00343385
13 4 0.00075047
13 5 7.4232e-05
13 6 1
14 0 0.000179793
14 1 0.000930812
14 2 0.000882062
14 3 0.0023656
14 4 0.000516981
14 5 5.11388e-05
14 6 1
15 0 9.03986e-05
15 1 0.000468033
15 2 0.000443511
15 3 0.00118944
15 4 0.00025995
15 5 2.57127e-05
15 6 1
Time: 0.700000
0 0 0.000135835
0 1 0.000702581
0 2 0.000663239
0 3 0.00176116
0 4 0.000368902
0 5 3.32453e-05
0 6 1
1 0 0.000244907
1 1 0.00126671
1 2 0.00119581
1 3 0.00317541
1 4 0.000665117
1 5 5.99402e-05
1 6 1
2 0 0.000339127
2 1 0.00175406
2 2 0.00165586
2 3 0.00439706
2 4 0.000921011
2 5 8.30014e-05
2 6 1
3 0 0.000418921
3 1 0.00216679
3 2 0.00204547
3 3 0.00543157
3 4 0.00113769
3 5 0.000102529
3 6 1
4 0 0.000483827
4 1 0.00250254
4 2 0.00236237
4 3 0.00627316
4 4 0.00131398
4 5 0.000118412
4 6 1
5 0 0.00053285
5 1 0.00275605
5 2 0.00260176
5 3 0.00690866
5 4 0.00144711
5 5 0.000130409
5 6 1
6 0 0.000564896
6 1 0.00292185
6 2 0.00275825
6 3 0.00732425
6 4 0.00153419
6 5 0.000138261
6 6 1
7 0 0.000579149
7 1 0.00299551
7 2 0.00282781
7 3 0.00750881
7 4 0.00157286
7 5 0.000141748
7 6 1
8 0 0.000575211
8 1 0.00297515
8 2 0.0028086
8 3 0.00745796
8 4 0.00156217
8 5 0.000140778
8 6 1
9 0 0.000553208
9 1 0.00286135
9 2 0.00270117
9 3 0.00717295
9 4 0.0015024
9 5 0.000135397
9 6 1
10 0 0.000513789
10 1 0.00265747
10 2 0.00250869
10 3 0.00666132
10 4 0.00139535
10 5 0.000125744
10 6 1
11 0 0.00045811
11 1 0.00236949
11 2 0.00223681
11 3 0.00593975
11 4 0.00124415
11 5 0.000112122
11 6 1
12 0 0.000387704
12 1 0.00200529
12 2 0.00189302
12 3 0.00502684
12 4 0.00105292
12 5 9.48887e-05
12 6 1
13 0 0.000304294
13 1 0.00157387
13 2 0.00148575
13 3 0.00394531
13 4 0.000826415
13 5 7.44741e-05
13 6 1
14 0 0.000209628
14 1 0.00108423
14 2 0.00102355
14 3 0.00271795
14 4 0.000569298
14 5 5.13056e-05
14 6 1
15 0 0.000105399
15 1 0.000545174
15 2 0.00051465
15 3 0.0013666
15 4 0.000286256
15 5 2.57965e-05
15 6 1
Time: 0.800000
0 0 0.000155143
0 1 0.000801679
0 2 0.000753923
0 3 0.00198235
0 4 0.000398522
0 5 3.32909e-05
0 6 1
1 0 0.000279719
1 1 0.00144538
1 2 0.00135931
1 3 0.00357421
1 4 0.00071852
1 5 6.00223e-05
1 6 1
2 0 0.000387332
2 1 0.00200147
2 2 0.00188226
2 3 0.00494929
2 4 0.00099496
2 5 8.31151e-05
2 6 1
3 0 0.000478468
3 1 0.00247242
3 2 0.00232515
3 3 0.00611373
3 4 0.00122904
3 5 0.00010267
3 6 1
4 0 0.0005526
4 1 0.00285552
4 2 0.00268538
4 3 0.00706102
4 4 0.00141948
4 5 0.000118574
4 6 1
5 0 0.000608592
5 1 0.00314479
5 2 0.0029575
5 3 0.00777633
5 4 0.0015633
5 5 0.000130587
5 6 1
6 0 0.000645193
6 1 0.00333397
6 2 0.00313539
6 3 0.00824411
6 4 0.00165737
6 5 0.00013845
6 6 1
7 0 0.000661471
7 1 0.00341802
7 2 0.00321445
7 3 0.00845186
7 4 0.00169915
7 5 0.000141942
7 6 1
8 0 0.000656974
8 1 0.0033948
8 2 0.00319262
8 3 0.00839462
8 4 0.0016876
8 5 0.000140971
8 6 1
9 0 0.000631844
9 1 0.00326493
9 2 0.0030705
9 3 0.00807382
9 4 0.00162303
9 5 0.000135582
9 6 1
10 0 0.000586821
